M01 - OBRAS COMPLEMENTARIAS,
INSTALACION DE FAENAS,gib
"TRAZO, NIVELES Y REPLANTEO",m2
LETRERO DE OBRA,pza
PLACA DE ENTREGA DE OBRA,pza
LIMPIEZA GENERAL,m2
RETIRO DE ESCOMBROS,gib
M03 - ARQUITECTONICO,
EXCAVACION TERRENO TIPO B SEMIDURO,m3
RELLENO Y COMPACTADO DE TIERRA,m3
MEJORAMIENTO DE SUELO CON MATERIAL GRANULAR,m3
ZAPATA DE HORMIGON ARMADO H-25,m3
VIGA DE ARRIOSTRE DE HORMIGON ARMADO H-25,m3
LOSA DE FUNDACIÓN DE H°A° H-25,m3
COLUMNA DE HORMIGON ARMADO H-25,m3
VIGA DE HORMIGON ARMADO H-25,m3
ESCALERA DE HORMIGON ARMADO H-25,m3
LOSA CASETONADA 35 CM N10X30 EJE 50,m2
LOSA MACIZA DE HORMIGON ARMADO H-25,m3
MURO DE CONTENCION DE HORMIGON ARMADO,m3
CUBIERTA CALAMINA PREPINTADA C/CERCHA METALICA C 80x40,m2
PAVIMENTO RIGIDO e=18 cm fc=210 Kg/cm2 INC/JUNTA,m2
M03 - ARQUITECTONICO,
MAMPOSTERIA DE PIEDRA BRUTA MORTERO 1:4 SIN PROVISIÓN,m2
MAMPOSTERIA DE PIEDRA BRUTA MORTERO 1:4 CON PROVISIÓN,m2
CIMIENTO DE HORMIGON CICLOPEO 60% PIEDRA,m3
SOBRECIMIENTO DE HORMIGON EN MASA,m3
IMPERMEABILIZACION DE SOBRECIMIENTOS,m2
MURO LADRILLO 6H e=15 cm,m2
MURO LADRILLO 6H e=10 cm,m2
DINTEL DE LADRILLO ARMADO 6 HUECOS,m
MURO DRYWALL UNA CARA VISTA,m2
MURO DRYWALL DOS CARAS VISTAS,m2
CERRAMIENTO MELAMINA ALUMINIO PARA BAÑOS,m2
BOTAGUAS DE HORMIGON ARMADO,m
CUBERTINA DE HORMIGON ARMADO,m
BASE DE HORMIGON POBRE Y SOLADO,m2
CONTRAPISO DE CEMENTO MAS SOLADO DE PIEDRA,m2
CONTRAPISO DE CEMENTO SOBRE LOSA,m2
PISO PORCELANATO PEI III,m2
PISO PORCELANATO PEI IV ALTO TRAFICO,m2
PISO VINIL HOSPITALARIO EN ROLLO,m2
PISO DE CEMENTO ENLUCIDO FINO,m2
PISO PORCELANATO PEI III PARA ESCALERAS,m2
ACERA H° SIMPLE C/EMPEDRADO+BUÑAS,m2
CORDON DE ACERA H°S° 20X40cm,m
CIELO RASO YESO BAJO ESCALERAS,m2
CIELO FALSO SUSPENDIDO TIPO ARMSTRONG,m2
CIELO FALSO PVC ENTABLONADO,m2
CIELO FALSO CON REVESTIMIENTO VINILICO,m2
CIELO FALSO DRYWALL LISO CON GARGANTAS,m2
REVOQUE EXTERIOR CON MORTERO DE CEMENTO,m2
REVOQUE INTERIOR CON MORTERO DE CEMENTO FROTACHADO,m2
REVOQUE INTERIOR CON YESO,m2
REVESTIMIENTO CERAMICO C/MORTERO IMPERMEABILIZANTE,m2
REVESTIMIENTO DE VINIL CON CURVA SANITARIA,m2
"PROTECTOR DE MURO CON ZOCALO DE MADERA 3""",m
ZOCALO DE PVC h=10cm,m
MESON DE GRANITO a=60cm INC/CAJONERIA MELAMINA,m
CARPETA BASE PARA MANTA ASFALTICA IMPERMEBLE,m2
IMPERMEABILIZACION LOSA C/MANTA ASFALTICA ALUMINIO,m2
PINTURA IMPERMEABILIZANTE DE CUBIERTA,m2
PINTURA LATEX INTERIOR,m2
PINTURA LATEX EXTERIOR,m2
PUERTA CONTRAPLACADA e=4.5cm CON VISOR,m2
PUERTA CONTRAPLACADA e=4.5cm CON VISOR Y PROTECTOR,m2
PUERTA CONTRAPLACADA VAIVEN e=4.5cm CON VISOR Y PROTECTOR,m2
PUERTA DE ACERO INOXIDABLE CON VISOR,m2
PUERTA BATIENTE DE VIDRIO TEMPLADO DE 10 MM,m2
PUERTA CORREDIZA DE VIDRIO TEMPLADO DE 10 MM,m2
VENTANA DE ALUMINIO SERIE 25 + VIDRIO 6mm,m2
VENTANA DE ALUMINIO SERIE 25 + VIDRIO OPACID 6mm,m2
VENTANA DE ALUMINIO CON POLICARBONATO 8MM,m2
ESPEJO DE 4MM CON MARCO DE ALUMINIO,m2
CORTINA HOSPITALARIA CON RIEL DE CIELO,m
MARCO METALICO Y MICROPERFORADO,m2
PUERTA DE GARAJE METALICA,m
PASAMANOS TUBO 50X2MM,m
BARANDA INTERIOR TUBO 50X2MM-25X2MM,m
BARANDA EXTERIOR TUBO 30X30MM CON MALLA,m
PERGOLADO METALICO EXTERIOR,m2
PISO DE MADERA,m2
GRADA DE CEMENTO SOBRE TIERRA,m2
BARANDA DE LADRILLO 6H,m
,
EXCAVACIÓN S/AGOTAMIENTO TERRENO SEMIDURO (0 A 1M),m3
